Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type,Explanation
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,13,K,"The SHL Assessment ""Core Java (Entry Level) (New)"" is a test designed to see if you have the basic knowledge and skills needed for an entry-level Java programming job.  Think of it as a screening tool to weed out applicants who lack fundamental understanding.  It doesn't require you to be an expert, just to show you grasp the core concepts.

In simple terms, the test will likely ask you questions about:

* **Basic Java syntax:**  This includes things like declaring variables (integers, strings, etc.), using operators (+, -, *, /), and understanding basic control flow (if-else statements, loops like `for` and `while`).
* **Data types:** Knowing the difference between integers, floating-point numbers, booleans, and strings.
* **Object-Oriented Programming (OOP) concepts:** A very basic understanding of classes, objects, methods, and maybe even inheritance (though likely at a very introductory level).
* **Arrays and collections:**  Knowing how to use arrays to store data and maybe a very superficial understanding of simpler collections like Lists (though this is less likely at the entry level).


**Key skills evaluated:**

* **Understanding of fundamental programming concepts:**  Do you know how to write simple programs, use variables, and control the flow of execution?
* **Problem-solving ability:** Can you apply your knowledge to solve small programming problems, even if you haven't seen them before?
* **Attention to detail:**  Java is precise; a small mistake can lead to errors.  The test will assess your ability to write clean, accurate code.

It's important to note that this is an *entry-level* test.  You won't be expected to know advanced topics like multithreading, complex data structures, or design patterns.  Focus on mastering the basics, and you'll be well-prepared.
"
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,5,K S,"The SHL ""Count Out the Money"" assessment, also known as the ""Currency Exchange"" test, is a numerical reasoning test presented in a realistic scenario.  Imagine you're a cashier needing to give customers the correct change quickly and efficiently.  You'll be presented with a series of transactions – the total cost of items and the amount of money paid. You must then calculate the correct change required.

**In simple terms:**  It's a fast-paced test of your basic arithmetic skills, specifically your ability to perform quick subtractions under time pressure.

**Key skills evaluated:**

* **Numerical Reasoning:**  The most obvious skill; the ability to accurately perform calculations.
* **Speed and Accuracy:** You're not just tested on *if* you get the right answer, but also *how fast* you get it.  Speed and accuracy are equally important.
* **Mental Arithmetic:**  You're usually not allowed a calculator, so you need to be able to perform calculations mentally and quickly.
* **Attention to Detail:**  Making even a small mistake will result in an incorrect answer.  Attention to detail is crucial to avoid errors under pressure.
* **Working Under Pressure:** The time limit adds pressure, testing your ability to maintain accuracy and speed even when stressed.


Essentially, it's a practical test of fundamental numeracy skills relevant to many roles, particularly those involving handling money or data entry.
"
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,8,K,"The SHL ""CSS3 (New)"" assessment is a test designed to evaluate your understanding and practical application of Cascading Style Sheets level 3 (CSS3), a language used to style web pages.  Think of it as a test on your ability to make websites look good.

In simple terms, the test presents you with coding problems or scenarios related to CSS3. You'll need to write CSS code to achieve specific visual effects or fix given code snippets. It won't test your knowledge of HTML or JavaScript directly, but understanding basic HTML structure is helpful because CSS styles HTML elements.

**Key skills evaluated:**

* **Understanding of CSS Selectors:**  This is the core.  You need to know how to target specific HTML elements (e.g., using IDs, classes, element names) to apply styles.
* **CSS Properties and Values:**  Knowing how to use CSS properties to control things like color, fonts, layout (margins, padding, etc.), and responsiveness (adjusting the look based on screen size).
* **Box Model Understanding:**  A fundamental concept in CSS that determines how an element's content, padding, border, and margin interact to define its size and position.
* **Working with CSS units:**  Knowing different units of measurement (pixels, percentages, ems, etc.) and when to use them appropriately.
* **CSS troubleshooting:**  Identifying and correcting errors in existing CSS code.
* **Basic understanding of layout techniques:**  Knowing how to position elements on a page using techniques like flexbox or grid (depending on the specific test version).


Essentially, the SHL CSS3 assessment checks if you can effectively use CSS to create visually appealing and well-structured web pages.  It's a practical, coding-focused test, not just a multiple-choice quiz on theory.
"
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,7,K,"The SHL Culinary Skills (New) assessment is a test designed to see how well you understand and can apply basic culinary principles and practices.  Think of it as a quiz about food preparation and kitchen knowledge, not a practical cooking test.

In simple terms, it evaluates your understanding of things like:

* **Food safety:**  Knowing how to handle food safely to avoid contamination and illness.  This includes understanding temperature control, hygiene, and safe storage techniques.
* **Basic cooking techniques:**  Familiarity with common cooking methods (e.g., boiling, frying, baking, roasting) and their applications.
* **Recipe interpretation and application:**  Your ability to understand and follow recipes accurately, including ingredient measurements and preparation steps.
* **Kitchen equipment and tools:**  Knowing the function and proper use of common kitchen equipment and tools.
* **Culinary terms and terminology:** Understanding basic culinary vocabulary.

It's not about being a Michelin-star chef; it's about demonstrating a foundational understanding of safe and efficient food preparation.  The questions will likely be multiple-choice or short-answer, testing your knowledge rather than your practical skills.
"
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,20,B S,"The SHL Customer Service Phone Simulation is a virtual role-play designed to assess how well you handle customer service calls.  Imagine it like a realistic phone call, but instead of a real person, you're interacting with a computer program that presents you with different customer scenarios.

Essentially, you'll receive a call describing a customer's problem or complaint. You'll then have to listen carefully, respond appropriately, and try to solve the issue within the given timeframe. The computer will present you with options to choose from for your responses, reflecting different ways you could handle the situation.

**Key skills evaluated:**

* **Problem-solving:** Can you identify the customer's issue and find a suitable solution?
* **Communication:** Are you clear, concise, and polite in your interactions?  Do you actively listen and understand the customer's perspective?
* **Empathy:** Do you show understanding and concern for the customer's situation?
* **Professionalism:** Do you maintain a calm and professional demeanor, even under pressure or with difficult customers?
* **Decision-making:** Do you choose appropriate responses and actions based on the situation?
* **Time management:** Can you handle the call efficiently within the given time constraints?

The simulation scores you based on how well you demonstrate these skills throughout the call. It's not about giving the ""right"" answer, but more about demonstrating the *right approach* to customer service.
"
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,30,B P S,"The SHL Customer Service Phone Solution assessment is a simulated phone call scenario designed to test how well you handle customer service situations.  Imagine you're a customer service representative and you receive a phone call from a difficult or demanding customer.  The assessment presents you with a problem the customer is having and requires you to type out your responses as if you were speaking to them on the phone.

It's not about memorizing answers, but about demonstrating your ability to:

* **Problem-solving:**  Can you understand the customer's issue and figure out a solution?
* **Communication skills:** Can you clearly and professionally explain things to the customer, even under pressure?
* **Empathy and Active Listening:** Can you show you understand the customer's frustration and respond appropriately?  Are you listening to what they're saying rather than just planning your reply?
* **Professionalism and composure:** Do you remain calm and polite, even when faced with a difficult customer?
* **Decision-making:**  Do you make sound judgments about how to best handle the situation?


Essentially, it checks if you've got the right stuff to deal with customer complaints and queries effectively on the phone. Your typed responses are scored based on how well you demonstrate these key skills.
"
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,9,K,"The SHL Cyber Risk (New) assessment is a test designed to see how well you understand and can deal with cybersecurity threats and risks.  It's not a technical test where you need to know how to code or fix specific vulnerabilities, but rather a test of your **judgment, problem-solving skills, and awareness** related to cybersecurity.

In simple terms, imagine you're a manager responsible for protecting your company's data.  The assessment presents you with scenarios – emails, news articles, or hypothetical situations involving cyber threats – and asks you to identify the risks, determine the best response, and prioritize actions.  It might ask you to assess the likelihood and impact of a security breach, or decide how to react to a phishing attempt.

Key skills evaluated include:

* **Risk assessment:** Identifying potential threats and evaluating their severity.
* **Decision-making:** Choosing the most appropriate response to a cyber security incident.
* **Prioritization:** Determining which threats to address first.
* **Awareness of cyber security best practices:** Demonstrating knowledge of common threats and preventative measures.
* **Problem-solving:**  Analyzing situations and finding effective solutions to security challenges.

Essentially, it's about demonstrating your ability to think critically and strategically about cybersecurity issues from a management or leadership perspective.  You're not expected to be a technical expert, but you should show you understand the basics and can make sound judgments in a high-pressure situation.
"
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,Yes,No,4,S,"The SHL Data Entry (New) assessment is a timed test designed to see how quickly and accurately you can enter data into a computer system.  Imagine you're a clerk typing information from a document onto a spreadsheet or database.  That's essentially what this test simulates.

In simple terms, it's a typing test with a twist.  You won't just be typing random words; you'll be transcribing information from one format to another, often requiring you to follow specific instructions and formatting rules (e.g., using specific abbreviations, capitalization, or number formats).  There might be different fields to fill in, and you have to match the source information accurately to the correct field.  Mistakes will cost you points, as will slow typing speed.

**Key skills evaluated:**

* **Accuracy:**  Entering the correct data without errors is crucial.  Even a small mistake can significantly impact your score.
* **Speed:**  You're evaluated on how quickly you can complete the task within the given timeframe.
* **Attention to detail:** The test requires you to meticulously follow instructions and accurately transfer information, highlighting the importance of detail-oriented work.
* **Data manipulation:**  You might need to reformat data or make small calculations before entry, showing your ability to handle data effectively.


Essentially, this assessment checks if you have the fundamental skills necessary for jobs involving significant data entry, such as administrative roles, data processing, or entry-level office positions.
"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,5,K,"The SHL Data Entry Alphanumeric Split Screen assessment is a timed test designed to measure your speed and accuracy in entering data from a split screen.  Imagine two screens side-by-side: one shows alphanumeric data (letters and numbers), and the other is a blank entry field.  Your job is to quickly and accurately type the data from the first screen into the second.  It's like a very fast typing test, but with the added challenge of switching your focus between two screens.

In simple terms, it's a test of how efficiently you can transfer information from one place to another.  It's not about complex thinking or problem-solving; it's purely about speed and accuracy in data entry.

Key skills evaluated include:

* **Speed of data entry:** How quickly you can type the information.
* **Accuracy of data entry:** How few mistakes you make while typing.
* **Visual attention switching:** How well you can quickly shift your focus between the two screens.
* **Concentration:** Maintaining focus under pressure and time constraints.
* **Keyboard skills:**  Proficiency with a keyboard (this is implicitly tested).


Think of it like a typing test on steroids – it focuses on how well you can perform a specific task quickly and precisely, crucial for many data-entry or administrative roles.
"
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,5,K,"The SHL Data Entry Numeric Split Screen assessment (US version) is a timed test that measures your speed and accuracy at entering numerical data.  Imagine two screens side-by-side: one displays a number, and the other is a blank entry field.  You need to quickly and accurately type the number from the first screen into the second screen.  The numbers vary in length and complexity.

In simple terms, it's like a typing test, but specifically focused on numbers and designed to assess your performance under pressure.

**Key skills evaluated:**

* **Speed:** How quickly you can enter the numbers.  This is a major part of the score.
* **Accuracy:** How many numbers you enter correctly.  Errors significantly impact your score.
* **Data Entry Skills:**  Your proficiency in accurately and efficiently transferring numerical data.
* **Concentration:**  Maintaining focus and accuracy under time pressure.


It's designed to see if you'd be suitable for jobs that involve significant data entry, like administrative roles, data processing, or other positions requiring high volumes of numerical input.
"
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,3,K,"The SHL Data Entry Ten Key Split Screen test assesses your speed and accuracy at entering numerical data.  Imagine two screens side-by-side.  One screen displays numbers you need to type into the other, blank screen.  The catch?  You have to do it quickly and without making mistakes.

In simple terms, it's like a typing test, but specifically for numbers, and it tests your ability to:

* **Accuracy:**  Entering the numbers correctly is crucial.  Even one mistake can impact your score.
* **Speed:**  You need to be fast, but speed without accuracy is useless.  The test measures how many numbers you can correctly input in a set amount of time.
* **Focus/Concentration:**  Switching between the two screens and maintaining accuracy under pressure requires strong concentration.
* **Data Entry Skills:**  This is a direct assessment of your proficiency in a skill many jobs require.

Essentially, the test simulates a common task in many office and administrative roles.  A good score demonstrates you have the necessary skills to efficiently and accurately handle numerical data entry.
"
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,Yes,No,14,K,"The SHL Data Science (New) assessment is a test designed to see if you have the right stuff to be a data scientist.  It doesn't test your coding skills directly, but instead focuses on the core reasoning and problem-solving abilities needed to succeed in the role.  Think of it as a check to see if you have the right mindset and foundational abilities, not if you can already write perfect Python code.


In simpler terms, it checks if you can:

* **Understand and interpret data:**  This includes looking at charts, graphs, and tables and pulling out meaningful insights. Can you spot trends, patterns, and anomalies?
* **Solve problems using data:**  You'll face scenarios where you need to analyze data to answer a specific question or solve a problem. This tests your logical reasoning and ability to apply data to real-world situations.
* **Reason statistically:** This isn't about complex statistical formulas but rather a grasp of statistical concepts like probability, distributions, and correlation.  You'll need to understand what data is telling you, and what it *isn't* telling you.
* **Think critically and analytically:** Data science is as much about asking the right questions as it is about finding answers.  The test assesses your ability to think deeply about problems, identify assumptions, and evaluate different approaches.


**Key skills evaluated:**

* **Logical reasoning:**  The ability to deduce conclusions from given information.
* **Numerical reasoning:** Understanding and interpreting numerical data.
* **Critical thinking:**  Analyzing information objectively and identifying biases or flaws in reasoning.
* **Problem-solving:**  Developing and implementing solutions to data-related problems.
* **Data interpretation:**  Extracting meaningful insights from data visualizations and tables.

Essentially, this assessment helps recruiters quickly filter out candidates who lack the fundamental analytical and problem-solving skills crucial for a data science career. It's less about knowing specific algorithms and more about demonstrating a natural aptitude for working with data.
"
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,25,K,"The SHL Data Warehousing Concepts assessment tests your understanding of fundamental data warehousing principles.  Imagine a massive, organized library holding a company's data, specifically designed for analysis and reporting, rather than daily operations. That's a data warehouse.

In simple terms, this assessment checks if you know:

* **What a data warehouse is and why it's used:**  Understanding its purpose (business intelligence, reporting, analytics) vs. a regular database.
* **Key components of a data warehouse:**  Things like fact tables (containing the main data), dimension tables (providing context like time, location, customer), and how they relate.
* **Data warehousing processes:** This includes Extract, Transform, Load (ETL) – how data gets cleaned, moved, and prepared for the warehouse.
* **Different data warehouse architectures:** Knowing various designs and their pros and cons.
* **Data modelling:** Understanding how data is organized and represented within the warehouse to enable efficient querying.

The assessment doesn't require you to be a data warehousing expert, but it evaluates your **foundational knowledge**. Key skills assessed include:

* **Understanding of core concepts:**  You need to grasp the basic terminology and principles.
* **Logical reasoning:**  You might be presented with scenarios and need to deduce the appropriate data warehousing approach.
* **Problem-solving:**  Questions may involve identifying issues or inefficiencies in data warehousing processes.


Essentially, it's a screening tool to see if you have a basic grasp of the concepts needed for roles involving data analysis, business intelligence, or data engineering.  It's less about technical proficiency and more about demonstrating fundamental understanding and aptitude.
"
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,10,P,"The SHL Dependability and Safety Instrument (DSI) is a personality test that assesses how likely you are to be a reliable and safe worker, especially in roles where mistakes could have serious consequences.  Think of jobs like air traffic control, nursing, or operating heavy machinery.

In simple terms, it checks if you're someone who:

* **Follows rules and procedures carefully:** Do you meticulously follow instructions and established protocols?
* **Is attentive to detail:** Do you catch small errors that others might miss?
* **Is conscientious and thorough:** Do you take your work seriously and ensure things are done correctly?
* **Can handle pressure without making mistakes:**  Can you stay calm and focused even when things get hectic?
* **Prioritizes safety:**  Do you actively look for and address potential hazards?

It doesn't test your intelligence or knowledge; instead, it focuses on your personality traits related to reliability and safety consciousness.  The key skills it evaluates are not hard skills like technical abilities but **soft skills** related to responsibility, attention to detail, and a safety-first mindset.  The test aims to predict how dependable and safety-conscious you'll be on the job.
"
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,Yes,No,3,K,"The SHL Dermatology (New) assessment is a situational judgment test (SJT) designed to evaluate how well a candidate would perform in a dermatology-related role.  Instead of testing specific medical knowledge, it focuses on your **judgment, problem-solving skills, and professional conduct** in realistic dermatology scenarios.

Imagine you're presented with a series of situations a dermatologist might face – a difficult patient, a complex case, a tricky ethical dilemma, or a scheduling conflict.  For each scenario, you'll be given several possible responses and asked to rank them from best to worst, according to how effectively they address the situation.

The key skills assessed include:

* **Clinical judgment:**  Making sound decisions based on limited information and prioritizing patient needs.
* **Communication skills:**  How effectively you interact with patients, colleagues, and superiors.
* **Problem-solving skills:**  Identifying and addressing issues in a systematic and efficient manner.
* **Prioritization:**  Managing competing demands and tasks effectively.
* **Professionalism:** Maintaining appropriate conduct and ethical standards.
* **Teamwork:**  Working collaboratively with other healthcare professionals.


Essentially, it's less about ""knowing"" dermatology and more about ""acting"" like a successful dermatologist in various professional situations.  It assesses your soft skills and decision-making abilities crucial for succeeding in the field.
"
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,8,K,"The SHL Desktop Support (New) assessment is a test designed to see if you'd be good at a help desk or desktop support role in IT.  In simple terms, it checks if you have the knowledge and skills to troubleshoot common computer problems and help users with technology.

Imagine you're working in a company's IT department.  People call you with problems like ""My computer won't turn on!"" or ""I can't print this document!""  This assessment simulates those situations.

**Key skills evaluated include:**

* **Troubleshooting:**  Your ability to logically identify and solve technical issues.  It tests your problem-solving skills – can you break a problem down into smaller parts and find a solution?
* **Technical Knowledge:**  Your understanding of basic computer hardware, software, and networking concepts (e.g., printers, operating systems, internet connectivity).  It doesn't expect you to be an expert, but a foundational understanding is key.
* **Communication Skills:** The assessment might include scenarios requiring you to explain technical solutions clearly and concisely to non-technical users.  You need to be able to communicate effectively, even when someone is frustrated.
* **Prioritization:**  Sometimes multiple problems arise at once. The assessment might test your ability to prioritize tasks and handle multiple requests efficiently.
* **Customer Service Orientation:**  Showing patience, understanding, and a helpful attitude is crucial in a help desk role. The assessment might indirectly assess these qualities through scenarios.

In short, it's a practical test to see if you possess the essential skills and temperament to succeed in a first-line IT support role.
"
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Yes,No,7,K,"The SHL Digital Advertising (New) assessment is a test designed to see if you're a good fit for a job in digital advertising.  Think of it as a quiz to check your knowledge and aptitude for the field.

In simple terms, it evaluates how well you understand the basics of digital advertising,  how you think about solving advertising problems, and how you'd apply your knowledge in a practical setting.  It doesn't require specialized, in-depth knowledge, but rather a foundational understanding and the right way of approaching things.

Key skills it evaluates include:

* **Understanding of digital advertising channels:**  Knowing about different platforms like Google Ads, social media advertising (Facebook, Instagram, etc.), programmatic advertising, and potentially others.  You won't need expert-level detail but a general awareness.
* **Analytical thinking and problem-solving:**  This involves interpreting data, identifying trends, and figuring out how to optimize campaigns.  Questions might present scenarios and ask you to choose the best course of action.
* **Strategic thinking:**  Developing and planning digital marketing campaigns, understanding target audiences, and setting objectives.
* **Commercial awareness:**  Understanding the business goals behind advertising campaigns (e.g., increasing brand awareness, driving sales).
* **Data interpretation:**  Being able to make sense of key metrics and use them to inform decisions.


Essentially, it's a screening tool to see if you possess the fundamental understanding and aptitude necessary to succeed in a digital advertising role.  It's less about memorizing facts and more about applying your logic and understanding of the field to hypothetical situations.
"
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,Not given,P,"The SHL Digital Readiness Development Report - IC (presumably ""IC"" stands for a specific industry or client context) is a report summarizing an individual's performance on an assessment designed to gauge their preparedness for digital roles and responsibilities.  In simple terms, it's a personalized feedback report telling someone how well they'd likely handle the digital demands of a specific job.

The report doesn't focus on technical skills like coding, but rather on **foundational digital skills and aptitudes** crucial for success in most modern workplaces.  These typically include:

* **Digital Fluency:**  How comfortable and adept they are with using various digital tools and technologies, encompassing things like software applications, online collaboration platforms, and digital communication.

* **Problem-Solving & Analytical Skills:**  Their ability to think critically, analyze information presented digitally, and solve problems using digital tools.

* **Adaptability & Learning Agility:** How quickly they can learn and adapt to new technologies and digital environments.  This is crucial as the digital landscape is constantly evolving.

* **Collaboration & Communication:**  Their ability to effectively communicate and collaborate with others using digital platforms.

The report usually provides a score or rating in each of these areas, along with suggestions for improvement.  It helps both the individual and potential employers understand the candidate's readiness to work effectively in a digital setting.  It essentially paints a picture of their digital literacy and work style within a digital context.
"
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,Not given,P,"The SHL Digital Readiness Development Report for Managers is a report summarizing the results of an assessment designed to see how well a manager is equipped to lead and thrive in a digital world.  It doesn't test specific digital *skills* like coding or using specific software, but rather the *managerial skills* needed to effectively leverage technology and manage teams in a digitally-driven workplace.

In simpler terms, it's like a personality and aptitude test but focused on how effectively a manager can:

* **Embrace digital transformation:** Are they open to new technologies and ways of working? Do they see the opportunities and challenges?
* **Lead digital teams:** Do they know how to motivate and manage people working remotely or with different digital tools? Can they foster collaboration in a digital environment?
* **Make strategic digital decisions:** Can they analyze data, understand digital trends, and use technology to improve team performance and company goals?
* **Adapt to digital change:** Are they flexible, adaptable, and able to learn new things quickly in a constantly evolving digital landscape?


The report highlights the manager's strengths and weaknesses in these areas, providing suggestions for development and improvement.  Key skills evaluated are therefore not technical skills, but rather leadership, strategic thinking, adaptability, and digital fluency (understanding the overall impact of digital technologies).  Think of it as measuring their *digital leadership quotient* rather than their digital technical proficiency.
"
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,Yes,No,10,K,"The SHL Assessment ""Docker (New)"" is a test designed to assess a candidate's understanding and practical experience with Docker, a popular platform for building, running, and managing containerized applications.  In simple terms, it checks if you know how to use Docker to create and manage isolated application environments.

Instead of focusing on theoretical knowledge, this assessment likely presents practical scenarios and coding challenges.  You'll probably be asked to:

* **Write Dockerfiles:** These are text files that contain instructions on how to build a Docker image (a packaged application). The assessment will test your ability to write effective and efficient Dockerfiles.
* **Manage Docker images and containers:** This includes tasks like building images, running containers, stopping and starting containers, and managing container networks.
* **Understand Docker concepts:**  The test might assess your grasp of key Docker concepts like images, containers, registries, volumes, and networks.
* **Troubleshoot Docker issues:** You might encounter problems during the assessment and need to diagnose and solve them.


**Key skills evaluated:**

* **Dockerfile creation and optimization:**  Writing clean, efficient, and secure Dockerfiles.
* **Container management:**  Knowing how to build, run, stop, and manage containers effectively.
* **Understanding of Docker concepts:**  Demonstrating a firm grasp of fundamental Docker principles.
* **Troubleshooting and problem-solving:**  Identifying and resolving issues related to Docker images and containers.
* **Linux command-line familiarity:** Docker often interacts with the Linux command line, so comfort with basic Linux commands is usually beneficial.


Essentially, this assessment aims to determine if a candidate can effectively use Docker in a real-world development or deployment scenario.  It's a practical, hands-on evaluation, not a purely theoretical one.
"
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,Yes,No,11,K,"The SHL Dojo (New) is an online practice platform designed to help you prepare for SHL's various aptitude tests, such as verbal reasoning, numerical reasoning, and inductive reasoning.  Think of it as a virtual training ground where you can hone your skills before taking the real assessments.

In simple terms, it gives you practice questions similar to what you'd see in a real SHL test.  It helps you understand the question formats, develop your test-taking strategies, and improve your speed and accuracy.

The key skills evaluated indirectly (as you practice for the real SHL tests) are:

* **Verbal Reasoning:** Understanding written information, identifying arguments, and drawing conclusions.
* **Numerical Reasoning:** Interpreting data presented in tables, charts, and graphs, and solving mathematical problems.
* **Inductive Reasoning:** Identifying patterns and relationships in sequences, diagrams, and other visual information.
* **Logical Reasoning:**  Solving problems using logic and deductive reasoning (this often overlaps with other sections).
* **Problem-Solving:** Applying skills and knowledge to solve unfamiliar problems efficiently.
* **Time Management:** Completing tasks accurately within time constraints.

Dojo doesn't directly *assess* these skills in the way a formal SHL test does; instead, it provides practice and feedback to help you *improve* them before you face the actual assessment.
"
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Yes,No,17,K,"The SHL Assessment ""Drupal (New)"" is a test designed to assess a candidate's knowledge and skills related to the Drupal content management system (CMS).  Think of Drupal as a software program that lets you build websites and web applications.  The test doesn't cover basic website building in general; it focuses specifically on *how well you know and can use Drupal*.

In simple terms, it's like a driving test, but instead of driving a car, you're ""driving"" a Drupal website.  The test will evaluate your ability to:


* **Understand Drupal's architecture:**  Knowing the different parts of Drupal and how they work together (e.g., modules, themes, content types).
* **Implement Drupal features:**  Showing you can use Drupal to create specific website functions like adding content, building menus, managing users, and customizing the appearance.
* **Troubleshoot Drupal problems:**  Demonstrating your ability to identify and fix issues within a Drupal website.
* **Apply best practices:** Showing you understand efficient and effective ways to use Drupal, focusing on things like security and maintainability.
* **Understand Drupal's configuration and settings:**  Knowing how to tweak Drupal to behave in the way you want.


The key skills evaluated are therefore technical skills directly related to Drupal development and administration, ranging from beginner to advanced levels depending on the specific job. The exact content will vary based on the role and seniority level, but the core focus remains on practical Drupal expertise.
"
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,Not given,P,"The SHL DSI v1.1 Interpretation Report summarizes the results of a candidate's performance on the SHL Directional Strength Inventory (DSI) assessment, version 1.1.  Think of it as a personality and behavioral style report.  It doesn't measure intelligence or knowledge, but rather how a person *typically* behaves and approaches situations at work.

In simple terms, the report tells recruiters and hiring managers about the candidate's preferred ways of working and interacting with others.  It highlights strengths and potential areas for development.  It's designed to help organizations understand if a candidate's personality and work style will be a good fit for a specific role and company culture.

Key skills and traits evaluated by the DSI v1.1 include:

* **Drive:**  This measures how ambitious, determined, and results-oriented the candidate is.  High scores indicate someone who's proactive and pushes for achievement.

* **Influence:** This assesses the candidate's ability to persuade, motivate, and collaborate with others.  It looks at communication style and leadership potential.

* **Support:** This measures the candidate's empathy, helpfulness, and concern for others.  It indicates their approach to teamwork and building relationships.

* **Caution:** This reflects the candidate's preference for thoroughness, accuracy, and risk aversion.  High caution scores suggest someone who likes to plan carefully and minimize potential problems.


Essentially, the report categorizes a person along these four dimensions, providing a profile illustrating their behavioural tendencies. This allows employers to see if the candidate's style aligns with the demands and culture of the role and the organization.  The report usually includes a visual representation (like a graph or chart) making it easy to understand the candidate's profile at a glance.
"
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,Yes,No,11,K,"The SHL Econometrics (New) assessment is a test designed to evaluate your understanding of basic econometric principles and your ability to apply them to solve problems.  Think of it as a test of how well you can use statistical methods to analyze economic data.

Instead of complex equations, it focuses on:

* **Interpreting statistical output:** You'll be given the results of a statistical analysis (like a regression) and asked to interpret what they mean in a real-world economic context.  For example, understanding the impact of a variable on another, based on a coefficient's value and significance.
* **Identifying appropriate methods:** You might be presented with a research question and asked to choose the most suitable econometric technique to answer it (e.g., regression, correlation).
* **Understanding fundamental concepts:**  This includes knowledge of correlation, causation, dependent and independent variables, and the basic principles behind regression analysis.  You won't need advanced mathematical derivations, but a solid grasp of the core concepts is vital.


**Key skills evaluated:**

* **Analytical skills:**  The ability to break down complex information, identify patterns, and draw logical conclusions.
* **Problem-solving skills:**  Applying your knowledge to solve real-world economic problems using statistical reasoning.
* **Numerical reasoning:**  Interpreting and manipulating numerical data presented in tables and graphs.
* **Critical thinking:**  Evaluating the validity and limitations of statistical analyses.
* **Understanding of basic econometric principles:**  Grasping core concepts like regression, correlation, and statistical significance.


Essentially, this test isn't about memorizing formulas, but rather about demonstrating your understanding and ability to *use* econometric tools to interpret data and make informed decisions.  It's targeted towards roles requiring data analysis and interpretation within an economic or business context.
"
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,Yes,No,13,K,"The SHL Economics (New) assessment is a numerical reasoning test designed to evaluate your ability to understand and interpret economic data and concepts.  It's not about memorizing economic theories; instead, it focuses on your ability to apply logic and mathematical skills to solve problems presented in an economic context.

Think of it as a standard numerical reasoning test, but the questions are framed using charts, graphs, and passages related to economic indicators like inflation, GDP, unemployment rates, etc. You'll be asked to analyze data, identify trends, make calculations, and draw conclusions based on the information provided.

**In simple terms:** You'll be given economic data (like charts showing unemployment rates over time) and asked questions like ""What was the percentage change in unemployment between year X and year Y?"" or ""Based on this trend, what is the likely unemployment rate in year Z?"".

**Key skills evaluated:**

* **Numerical reasoning:**  The ability to quickly and accurately perform calculations, including percentages, ratios, and proportions.
* **Data interpretation:**  Understanding and extracting relevant information from various data formats such as tables, graphs, and charts.
* **Problem-solving:**  Applying your numerical skills to solve problems presented within an economic context.
* **Logical reasoning:**  Drawing accurate conclusions and making informed predictions based on the given data.
* **Time management:**  Completing the assessment within the allocated time limit.


It's crucial to practice with similar questions beforehand to get comfortable with the format and to develop your speed and accuracy.
"
